product_links,item_names,img_links,prices
https://www.amazon.com/Columbia-Womens-Chatfield-Jacket-Nocturnal/dp/B07K6Z3TTB/ref=sr_1_70?dchild=1&qid=1598343492&s=apparel&sr=1-70,Women's Chatfield Hill Jacket,https://m.media-amazon.com/images/I/81eh0zLzejL._AC_UL320_.jpg,$72.88
https://www.amazon.com/FJ%C3%84LLR%C3%84VEN-Nuuk-Parka-Laurel-Green/dp/B07MM5TBGJ/ref=sr_1_71?dchild=1&qid=1598343492&s=apparel&sr=1-71,Women's Nuuk Parka,https://m.media-amazon.com/images/I/8196olm4oBL._AC_UL320_.jpg,$374.85
https://www.amazon.com/Helly-Hansen-Womens-Belfast-Packable/dp/B07SFS1WK3/ref=sr_1_72?dchild=1&qid=1598343492&s=apparel&sr=1-72,womens Belfast Ii Packable Jacket,https://m.media-amazon.com/images/I/81qoXR8LIzL._AC_UL320_.jpg,$140.00
https://www.amazon.com/Columbia-Womens-Jacket-Waterproof-Breathable/dp/B0814CDF3F/ref=sr_1_73?dchild=1&qid=1598343492&s=apparel&sr=1-73,Womens Lay D Down Ii Mid Jacket,https://m.media-amazon.com/images/I/61oOjuUhmiL._AC_UL320_.jpg,$260.00
https://www.amazon.com/Legendary-Whitetails-Womens-Saddle-Country/dp/B07G4LX6WK/ref=sr_1_74?dchild=1&qid=1598343492&s=apparel&sr=1-74,Women's Saddle Country Shirt Jacket,https://m.media-amazon.com/images/I/91Nw13aArCL._AC_UL320_.jpg,$79.99
https://www.amazon.com/Parajumpers-Womens-Rachel-Weather-X-Large/dp/B085D86CDM/ref=sr_1_75?dchild=1&qid=1598343492&s=apparel&sr=1-75,Women's Rachel All Weather Jacket,https://m.media-amazon.com/images/I/61rAuvH8aGL._AC_UL320_.jpg,$392.00
https://www.amazon.com/North-Face-Womens-Gotham-Jacket/dp/B01NAEE5X7/ref=sr_1_76?dchild=1&qid=1598343492&s=apparel&sr=1-76,Women's Gotham Jacket II,https://m.media-amazon.com/images/I/71IGljoqI2L._AC_UL320_.jpg,$108.00
https://www.amazon.com/Lingito-Emergency-Waterproof-Amusement-Concerts/dp/B07PF1R9WN/ref=sr_1_77?dchild=1&qid=1598343492&s=apparel&sr=1-77,"Pack Rain Poncho, Disposable Emergency Rain Ponchos for Men, Women & Teens, Assorted Colors with Individual Packaging, Extra-Thick & Heavy Duty!",https://m.media-amazon.com/images/I/71KPDe0bnVL._AC_UL320_.jpg,$10.99
https://www.amazon.com/DESCENTE-Charlotte-Jacket-Womens-Super/dp/B0812D768B/ref=sr_1_78?dchild=1&qid=1598343492&s=apparel&sr=1-78,Charlotte Ski Jacket Womens Sz 10 Super White,https://m.media-amazon.com/images/I/412wadjPGdL._AC_UL320_.jpg,$239.95
https://www.amazon.com/Leather-Lovers-Womens-Lambskin-XX-Large/dp/B074Z8P4PX/ref=sr_1_79?dchild=1&qid=1598343492&s=apparel&sr=1-79,Women's Lambskin Leather Bomber Biker Jacket,https://m.media-amazon.com/images/I/61VoWfouIwL._AC_UL320_.jpg,$108.99
https://www.amazon.com/Marmot-PreCip-Womens-Lightweight-Waterproof/dp/B00DNO0DVG/ref=sr_1_80?dchild=1&qid=1598343492&s=apparel&sr=1-80,womens Precip Lightweight Waterproof Rain Jacket,https://m.media-amazon.com/images/I/91ht3JQdVML._AC_UL320_.jpg,$69.96
https://www.amazon.com/Columbia-Womens-Arcadia-Waterproof-Jacket/dp/B00DQYPM6O/ref=sr_1_81?dchild=1&qid=1598343492&s=apparel&sr=1-81,Women's Arcadia Ii Waterproof Breathable Jacket With Packable Hood,https://m.media-amazon.com/images/I/81DJ90ecIKL._AC_UL320_.jpg,$41.33
https://www.amazon.com/Anyoo-impermeable-reutilizable-capucha-actividades/dp/B083F9XZHD/ref=sr_1_82?dchild=1&qid=1598343492&s=apparel&sr=1-82,Waterproof Rain Poncho Lightweight Reusable Hiking Hooded Coat Jacket for Outdoor Activities,https://m.media-amazon.com/images/I/51jooVfgpzL._AC_UL320_.jpg,$16.99
https://www.amazon.com/Wantdo-Womens-Hooded-Packable-Outwear/dp/B013LAZ77Q/ref=sr_1_83?dchild=1&qid=1598343492&s=apparel&sr=1-83,Women's Hooded Packable Ultra Light Weight Short Down Jacket,https://m.media-amazon.com/images/I/61BDTL7FlBL._AC_UL320_.jpg,$59.97
https://www.amazon.com/Johnny-Was-Printed-Reversible-X-Small/dp/B07R8QZWSK/ref=sr_1_84?dchild=1&qid=1598343492&s=apparel&sr=1-84,Women's Silk Printed and Reversible Bomber,https://m.media-amazon.com/images/I/91Y-48armPL._SEARCH281250_AC_UL320_.jpg,$299.99
https://www.amazon.com/Drop-Downtown-Cropped-Windswept-Vintage/dp/B07KYK74C1/ref=sr_1_85?dchild=1&qid=1598343492&s=apparel&sr=1-85,Women's Downtown Cropped Cutoff Denim Jacket,https://m.media-amazon.com/images/I/91leXOfLEOL._AC_UL320_.jpg,$59.90
https://www.amazon.com/North-Face-Womens-Metropolis-Parka/dp/B07MH5NX22/ref=sr_1_86?dchild=1&qid=1598343492&s=apparel&sr=1-86,,,
https://www.amazon.com/Wantdo-Womens-Waterproof-Mountain-Windproof/dp/B06XDSPXX4/ref=sr_1_87?dchild=1&qid=1598343492&s=apparel&smid=A3F9O2GSOZDPIJ&sr=1-87,Women's Mountain Waterproof Ski Jacket Windproof Rain Jacket Winter Warm Snow Coat,https://m.media-amazon.com/images/I/81H+6fl5w5L._AC_UL320_.jpg,$67.90
https://www.amazon.com/Columbia-Womens-McCleary-Insulated-Heather/dp/B0821SRTPM/ref=sr_1_88?dchild=1&qid=1598343492&s=apparel&sr=1-88,Women's McCleary Pass Hooded Insulated Winter Jacket,https://m.media-amazon.com/images/I/71ubvl20HGL._AC_UL320_.jpg,$99.99
https://www.amazon.com/Majestic-Filatures-Womens-Metallic-Pockets/dp/B07Q6HG8YT/ref=sr_1_89?dchild=1&qid=1598343492&s=apparel&sr=1-89,Women's Jacket Front Pockets,https://m.media-amazon.com/images/I/91ycvo1PL5L._AC_UL320_.jpg,$455.27
https://www.amazon.com/Outdoor-Research-Womens-Aspire-Jacket/dp/B08B9MCF3V/ref=sr_1_90?dchild=1&qid=1598343492&s=apparel&sr=1-90,Women's Aspire Jacket Black,https://m.media-amazon.com/images/I/61nB28srUSL._AC_UL320_.jpg,$214.95
https://www.amazon.com/INDYGENA-Podroz-Agathe-SM/dp/B07YHHR52J/ref=sr_1_91?dchild=1&qid=1598343492&s=apparel&sr=1-91,Podroz,https://m.media-amazon.com/images/I/81ZPKNTEDpL._SEARCH281250_AC_UL320_.jpg,$93.40
https://www.amazon.com/Burton-Prowess-Chaqueta-marr%C3%B3n-dorado/dp/B081FLB7WW/ref=sr_1_92?dchild=1&qid=1598343492&s=apparel&sr=1-92,Prowess Snowboard Jacket Womens,https://m.media-amazon.com/images/I/716YQKgkABL._AC_UL320_.jpg,$259.95
https://www.amazon.com/Gresanhevic-Womens-Personality-Leather-Streetwear/dp/B07YXXW2T2/ref=sr_1_93?dchild=1&qid=1598343492&s=apparel&sr=1-93,Gresanhevic Women's Personality Punk Tassel Rivets Faux Leather Biker Jacket Streetwear Coat Short Coat Jacket,https://m.media-amazon.com/images/I/61eiRbbuFwL._SEARCH281250_AC_UL320_.jpg,$190.48
